"laterality","assessment","metric","position","age_group","athletes","age","date","value","mean_outlier_detect","sd_outlier_detect","Tmin","Tmax","is_outlier","sample_size_all_data","mean_value_all_data","sd_value_all_data","sample_size_age_data","mean_value_age_data","sd_value_age_data","sample_size_pos_data","mean_value_pos_data","sd_value_pos_data","sample_size_hand_data","mean_value_hand_data","sd_value_hand_data","zscore_all","zscore_age","zscore_hand","zscore_pos","percentile_all","percentile_age","percentile_hand","percentile_pos","last_value","value_change","pct_change","swc","was_significant","effect_size","effect_size_interpretation"
"R","Anthropometry","Body Weight (lbs)","Striker","17-21 year old","athlete 13",17,2010-04-01,158,158,NA,NA,NA,NA,39,199.3,25.77,10,182.74,19.89,8,177.1,15.54,37,199.1,25.63,-1.6,-1.24,-1.6,-1.23,5.45,10.68,5.44,10.96,NA,NA,NA,30.65,NA,NA,NA
"R","Anthropometry","Height (in)","Striker","17-21 year old","athlete 13",17,2010-04-01,70.5,70.5,NA,NA,NA,NA,31,72.13,2.47,9,72.61,3.48,6,70.42,2.25,29,72.3,2.45,-0.66,-0.61,-0.73,0.03,25.46,27.25,23.18,51.33,NA,NA,NA,30.65,NA,NA,NA
"R","Anthropometry","Body Weight (lbs)","Striker","17-21 year old","athlete 13",17,2010-04-08,158,158,NA,NA,NA,NA,39,199.3,25.77,10,182.74,19.89,8,177.1,15.54,37,199.1,25.63,-1.6,-1.24,-1.6,-1.23,5.45,10.68,5.44,10.96,158,0,0,30.65,"Not Sig",NA,NA
"R","Anthropometry","Height (in)","Striker","17-21 year old","athlete 13",17,2010-04-08,70.5,70.5,NA,NA,NA,NA,31,72.13,2.47,9,72.61,3.48,6,70.42,2.25,29,72.3,2.45,-0.66,-0.61,-0.73,0.03,25.46,27.25,23.18,51.33,70.5,0,0,30.65,"Not Sig",0,"No Change"
"R","Anthropometry","Body Weight (lbs)","Striker","17-21 year old","athlete 13",17.5,2010-10-05,167.1,167.1,NA,NA,NA,NA,39,199.3,25.77,10,182.74,19.89,8,177.1,15.54,37,199.1,25.63,-1.25,-0.79,-1.25,-0.64,10.57,21.59,10.59,26,158,9.1,5.76,30.65,"Not Sig",0.35,"Small"
"R","Anthropometry","Body Weight (lbs)","Striker","17-21 year old","athlete 13",18,2011-04-07,170.4,170.4,NA,NA,NA,NA,39,199.3,25.77,10,182.74,19.89,8,177.1,15.54,37,199.1,25.63,-1.12,-0.62,-1.12,-0.43,13.1,26.75,13.14,33.32,167.1,3.3,1.97,30.65,"Not Sig",0.23,"Small"
"R","Anthropometry","Height (in)","Striker","17-21 year old","athlete 13",18,2011-04-07,70.25,70.25,NA,NA,NA,NA,31,72.13,2.47,9,72.61,3.48,6,70.42,2.25,29,72.3,2.45,-0.76,-0.68,-0.83,-0.08,22.33,24.92,20.19,46.9,70.5,-0.25,-0.35,30.65,"Not Sig",1.44,"Large"
"R","Anthropometry","Body Weight (lbs)","Striker","17-21 year old","athlete 13",18.6,2011-10-11,171,171,NA,NA,NA,NA,39,199.3,25.77,10,182.74,19.89,8,177.1,15.54,37,199.1,25.63,-1.1,-0.59,-1.1,-0.39,13.6,27.75,13.64,34.74,170.4,0.6,0.35,30.65,"Not Sig",0.03,"Trivial"
"R","Anthropometry","Body Weight (lbs)","Striker","17-21 year old","athlete 13",18.9,2012-02-29,169.8,169.8,NA,NA,NA,NA,39,199.3,25.77,10,182.74,19.89,8,177.1,15.54,37,199.1,25.63,-1.15,-0.65,-1.14,-0.47,12.61,25.77,12.65,31.93,171,-1.2,-0.7,30.65,"Not Sig",0.07,"Trivial"
"R","Anthropometry","Body Weight (lbs)","Striker","17-21 year old","athlete 13",18.9,2012-03-01,169.8,169.8,NA,NA,NA,NA,39,199.3,25.77,10,182.74,19.89,8,177.1,15.54,37,199.1,25.63,-1.15,-0.65,-1.14,-0.47,12.61,25.77,12.65,31.93,169.8,0,0,30.65,"Not Sig",0.05,"Trivial"
